"Listeriosis","Listeria_monocytogenes","Central_nervous_system","Meningitis","Meningoencephalitis","Brain_abscess","Immunodeficiency","Gastroenteritis","Gentamicin","Listeria"
"244.0","487.0","1327.0","5256.0","163.0","216.0","349.0","3891.0","772.0","885.0"
"251.0","544.0","1510.0","5771.0","127.0","248.0","410.0","4126.0","924.0","899.0"
"233.0","473.0","1510.0","5860.0","204.0","280.0","407.0","4180.0","887.0","652.0"
"228.0","458.0","1556.0","5657.0","159.0","228.0","404.0","3858.0","803.0","662.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"279.0","294.0","1029.0","4117.0","103.0","197.0","326.0","2969.0","527.0","2267.0"
"320.0","275.0","1262.0","3931.0","94.0","205.0","295.0","3159.0","536.0","1129.0"
"197.0","358.0","1343.0","4358.0","118.0","210.0","351.0","3583.0","688.0","704.0"
"230.0","419.0","1803.0","5228.0","137.0","240.0","409.0","4321.0","840.0","778.0"
"232.0","498.0","1683.0","4845.0","153.0","239.0","437.0","3879.0","823.0","1147.0"
"246.0","505.0","1837.0","5269.0","165.0","250.0","451.0","4052.0","850.0","1254.0"
"283.0","482.0","1553.0","5276.0","130.0","248.0","366.0","3854.0","777.0","1599.0"
"419.0","439.0","1279.0","4453.0","104.0","192.0","311.0","3068.0","629.0","4797.0"
"324.0","423.0","1598.0","5248.0","125.0","243.0","306.0","3046.0","643.0","2359.0"
"359.0","519.0","1823.0","5656.0","143.0","233.0","409.0","3886.0","808.0","2764.0"
"985.0","1049.0","1748.0","5950.0","155.0","252.0","444.0","3890.0","794.0","9243.0"
"1536.0","1938.0","1998.0","5403.0","155.0","229.0","429.0","4067.0","901.0","18511.0"
"3091.0","2725.0","2180.0","6031.0","144.0","281.0","420.0","3994.0","962.0","25418.0"
"2473.0","2989.0","1663.0","5433.0","130.0","252.0","460.0","3523.0","800.0","34517.0"
"1098.0","1035.0","1285.0","4373.0","137.0","232.0","365.0","3141.0","701.0","12522.0"
"693.0","717.0","1594.0","4175.0","104.0","243.0","352.0","2986.0","654.0","5227.0"
"571.0","803.0","2048.0","5733.0","213.0","244.0","494.0","4392.0","907.0","3425.0"
"1163.0","1123.0","2256.0","5881.0","168.0","282.0","502.0","4502.0","1027.0","8703.0"
"1259.0","1100.0","1938.0","5274.0","161.0","280.0","423.0","3882.0","871.0","7858.0"
"1616.0","1181.0","2129.0","5689.0","150.0","267.0","463.0","4050.0","972.0","10590.0"
"1325.0","890.0","1687.0","5723.0","154.0","220.0","390.0","3596.0","763.0","8092.0"
"821.0","697.0","1356.0","4737.0","114.0","224.0","334.0","3023.0","651.0","5324.0"
"503.0","560.0","1591.0","4835.0","106.0","216.0","341.0","3197.0","604.0","2684.0"
"643.0","722.0","2068.0","7727.0","163.0","289.0","483.0","4293.0","888.0","2774.0"
"889.0","863.0","2124.0","5566.0","131.0","253.0","432.0","4224.0","931.0","5214.0"
"12884.0","8161.0","2066.0","6006.0","166.0","305.0","499.0","4009.0","935.0","87827.0"
