"Hepatitis","Hepatitis_A#Virology","Jaundice","Hepatitis_B","Hepatitis_C","Hepatitis_A_vaccine","Viral_hepatitis","World_Hepatitis_Day","Picornavirales","Hepatitis_A"
"3117.0","2247.0","3984.0","4574.0","5876.0","261.0","338.0","95.0","9.0","2247.0"
"3252.0","2567.0","3826.0","4651.0","6013.0","252.0","369.0","100.0","9.0","2567.0"
"2873.0","2074.0","3615.0","4265.0","5626.0","199.0","330.0","86.0","8.0","2074.0"
"2486.0","1533.0","3061.0","3364.0","4082.0","150.0","262.0","77.0","6.0","1533.0"
"2469.0","1570.0","3231.0","3453.0","4204.0","136.0","297.0","60.0","8.0","1570.0"
"3455.0","2432.0","4336.0","4945.0","6003.0","259.0","393.0","110.0","4.0","2432.0"
"3377.0","2377.0","4256.0","4951.0","5924.0","261.0","374.0","120.0","17.0","2377.0"
"3763.0","2422.0","4076.0","5435.0","6299.0","248.0","414.0","138.0","12.0","2422.0"
"3288.0","2299.0","3842.0","4888.0","6607.0","255.0","377.0","110.0","6.0","2299.0"
"3143.0","2093.0","3798.0","4518.0","6106.0","213.0","315.0","119.0","11.0","2093.0"
"2556.0","1641.0","3030.0","3422.0","4653.0","175.0","309.0","101.0","13.0","1641.0"
"2437.0","1523.0","3491.0","3113.0","4251.0","126.0","287.0","79.0","3.0","1523.0"
"3721.0","2707.0","4157.0","6060.0","9879.0","280.0","376.0","534.0","6.0","2707.0"
"4098.0","2677.0","4399.0","5516.0","7374.0","310.0","410.0","357.0","4.0","2677.0"
"4468.0","2952.0","4243.0","6094.0","7386.0","285.0","446.0","640.0","4.0","2952.0"
"6062.0","3347.0","4488.0","7746.0","9538.0","303.0","443.0","6592.0","14.0","3347.0"
"3928.0","2401.0","3810.0","5259.0","6699.0","249.0","386.0","535.0","9.0","2401.0"
"2874.0","1655.0","3258.0","3642.0","4779.0","178.0","315.0","155.0","6.0","1655.0"
"2612.0","1580.0","3145.0","3391.0","4579.0","165.0","309.0","116.0","12.0","1580.0"
"3456.0","2313.0","4294.0","4498.0","5924.0","227.0","358.0","109.0","8.0","2313.0"
"3538.0","2801.0","4296.0","4972.0","6715.0","261.0","404.0","76.0","7.0","2801.0"
"3495.0","2627.0","4405.0","5108.0","6294.0","305.0","361.0","63.0","5.0","2627.0"
"3559.0","2541.0","4385.0","4967.0","6331.0","257.0","371.0","73.0","9.0","2541.0"
"3222.0","2342.0","3855.0","4373.0","5658.0","276.0","385.0","50.0","23.0","2342.0"
"2576.0","1955.0","3297.0","3544.0","4581.0","164.0","267.0","48.0","9.0","1955.0"
"2567.0","1724.0","3292.0","3191.0","4431.0","132.0","275.0","35.0","7.0","1724.0"
"3379.0","2222.0","4112.0","4327.0","5926.0","279.0","368.0","63.0","8.0","2222.0"
"3366.0","4207.0","3927.0","4799.0","6235.0","379.0","364.0","60.0","7.0","4207.0"
"3581.0","3887.0","4038.0","4951.0","6666.0","327.0","349.0","43.0","10.0","3887.0"
"3440.0","3111.0","3781.0","4776.0","6069.0","305.0","283.0","44.0","13.0","3111.0"
"2868.0","2390.0","3186.0","3959.0","5230.0","224.0","282.0","49.0","13.0","2390.0"
"2452.0","1760.0","3296.0","3155.0","4275.0","169.0","219.0","39.0","6.0","1760.0"
"2394.0","1604.0","3116.0","3034.0","4152.0","123.0","242.0","44.0","7.0","1604.0"
"2833.0","2120.0","3889.0","3928.0","5215.0","243.0","280.0","44.0","12.0","2120.0"
"3263.0","2297.0","4054.0","4462.0","5780.0","279.0","309.0","74.0","13.0","2297.0"
"3175.0","2238.0","3796.0","4431.0","5549.0","253.0","322.0","36.0","9.0","2238.0"
"2710.0","2032.0","3411.0","3927.0","5052.0","233.0","273.0","31.0","6.0","2032.0"
"2926.0","2138.0","3615.0","4045.0","5147.0","195.0","270.0","47.0","21.0","2138.0"
"2299.0","1664.0","3165.0","3111.0","4005.0","141.0","230.0","27.0","6.0","1664.0"
"2199.0","1439.0","3051.0","2844.0","3909.0","130.0","220.0","28.0","8.0","1439.0"
"2880.0","2131.0","3706.0","4045.0","5229.0","218.0","290.0","41.0","5.0","2131.0"
"2973.0","2262.0","3965.0","4210.0","5426.0","257.0","312.0","44.0","6.0","2262.0"
"3017.0","2051.0","3451.0","4121.0","4999.0","225.0","306.0","47.0","6.0","2051.0"
"2827.0","2159.0","4184.0","3992.0","5171.0","253.0","288.0","40.0","5.0","2159.0"
"2873.0","1963.0","3631.0","3966.0","4873.0","183.0","297.0","38.0","15.0","1963.0"
"2332.0","1506.0","13006.0","3053.0","3906.0","174.0","198.0","41.0","6.0","1506.0"
"2037.0","1330.0","4348.0","2760.0","3508.0","142.0","230.0","30.0","10.0","1330.0"
"2525.0","1820.0","3320.0","3548.0","4214.0","232.0","243.0","29.0","16.0","1820.0"
"2903.0","2118.0","3693.0","3839.0","4993.0","239.0","264.0","38.0","9.0","2118.0"
"2779.0","2051.0","3584.0","4097.0","5039.0","198.0","341.0","41.0","3.0","2051.0"
"2805.0","2032.0","3507.0","4037.0","4874.0","210.0","260.0","24.0","3.0","2032.0"
"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2029.0","1317.0","2886.0","2829.0","3737.0","126.0","276.0","32.0","10.0","1317.0"
"2193.0","1417.0","3132.0","2679.0","3505.0","129.0","230.0","25.0","5.0","1417.0"
"2365.0","1696.0","3406.0","3147.0","3837.0","156.0","258.0","39.0","3.0","1696.0"
"2574.0","1924.0","3226.0","3770.0","4738.0","211.0","318.0","37.0","14.0","1924.0"
"2606.0","1949.0","3142.0","3796.0","4853.0","197.0","317.0","44.0","14.0","1949.0"
"2842.0","2014.0","3110.0","4212.0","5271.0","228.0","314.0","51.0","23.0","2014.0"
"2894.0","2008.0","3088.0","4183.0","5708.0","222.0","265.0","42.0","19.0","2008.0"
"2459.0","1604.0","2866.0","3232.0","4417.0","134.0","278.0","33.0","6.0","1604.0"
"2227.0","1512.0","2759.0","2808.0","3883.0","120.0","271.0","44.0","10.0","1512.0"
"2652.0","1964.0","3319.0","3975.0","4985.0","183.0","332.0","32.0","7.0","1964.0"
"2871.0","2110.0","3325.0","4074.0","5623.0","207.0","331.0","24.0","13.0","2110.0"
"2935.0","1976.0","3361.0","4412.0","5086.0","218.0","337.0","44.0","8.0","1976.0"
"3018.0","2843.0","3480.0","4545.0","5434.0","258.0","337.0","35.0","8.0","2843.0"
