,Measles,Measles_virus,Measles_vaccine,Conjunctivitis,Pneumonia,Morbillivirus,Q_fever,Typhoid-fever,Pertussis,Meningococcal,Listeriosis,Malaria,Lyme,Legionnaires,Hepatitis A,Hepatitis B,Hepatitis C,Haemophilus
2/25/12,1.6306458916,1.4465437524,1.4212079202,4.9123522115,1.9032199559,0.7962444541,2.7004788268,2.5217300933,3.6727732522,1.9689237604,0.7887891151,3.0843924622,1.4367991494,0.8063815209,1.1199841599,3.3854835324,3.7013571825,4.2416639205
3/3/12,1.5370373832,1.5909602599,1.4639948822,4.7614201128,1.7701699549,0.7404797058,2.7856984658,2.5813646135,3.28580387,2.1316519522,0.7595624668,3.1065803578,1.176383729,0.756538381,1.1921795964,3.5043245779,3.6057937534,3.966423727
3/10/12,1.3922450524,1.302127245,1.3042568908,3.841190727,1.5158442893,0.7689816883,1.9602853909,1.8048734647,3.0094243604,1.9657434049,0.7503412249,2.6572754726,1.1212248046,0.7267540657,1.0020766859,3.016014025,2.8065719805,3.6246730497
3/17/12,1.3361865803,1.3146852021,1.3655848696,3.1362638553,1.3022439753,0.8544876356,2.0588966875,1.6894558203,2.5822923911,1.6742108138,0.7404948139,3.3481708814,1.3449964847,0.7103423002,0.8502901827,2.5955889297,2.1691744676,3.1329200047
3/24/12,1.3096806723,1.3649170308,1.287142106,3.6010214021,1.214144235,0.7677424716,2.0795928855,2.5291844083,2.6018978246,1.5056519702,0.7114244579,2.1656749115,1.698975875,0.7407344586,0.9049474108,2.4664571792,2.308427807,3.2772619057
3/31/12,1.1219304906,1.1828266518,1.1844533973,2.8971962245,1.1265293202,0.7107385067,2.001677787,1.2407060556,2.8843683427,1.4674877038,0.6728202755,2.3078161174,1.5446253957,0.810636423,0.9022004625,2.246036916,2.4552047866,2.823717011
4/7/12,1.1545297108,1.1137578874,1.2172567348,2.8307798057,1.0764537602,0.756589522,2.0540269938,2.0273847683,2.8978827677,1.5703191995,0.7034535539,2.2054942597,1.5120197698,0.7474207335,0.8323998014,2.1945833907,2.1720783287,3.0402298624
4/14/12,1.6893701878,1.3084062235,1.7877495611,3.1776560784,1.3894086949,0.8792719682,2.4399502162,3.9551948733,3.683622861,2.2795384847,0.7250218825,2.516421957,1.9139839877,0.8063815209,0.9159352041,2.5917714101,2.2997162237,4.2034557702
4/21/12,1.7650034253,1.5595653669,2.1386026494,3.0024867084,1.2638388605,1.4939234158,2.4849948825,3.1583285967,3.1915835826,1.9996671973,0.7615942659,3.006932934,1.7530608328,0.803342305,0.9312899408,2.8799111517,2.2809731202,4.2409563621
4/28/12,1.6004839963,1.5846812813,1.4497325615,2.8710703347,1.1629951325,1.5881038796,2.6213463049,2.2840616824,3.4426473382,2.1973793,0.8056686766,2.748008117,2.1552828027,0.7662638717,0.945095117,3.1653952275,2.8214872671,3.8496766012
5/5/12,1.5548603213,1.4653806882,1.4269128485,4.2965051811,1.2113738029,1.4332018011,2.9524854736,1.9451388258,5.3957672746,3.7202395439,0.772222138,3.0830057188,2.2304604644,0.8191462274,1.0969520547,3.3429928793,2.9918911166,3.8595824179
5/12/12,1.4293380903,1.0949209517,1.3242241397,3.8455975036,1.2611376892,0.9263622001,2.7199576015,1.7380331066,4.3635316821,2.6972251789,0.7090800744,2.9908863309,2.3123826365,0.717028575,1.0485635036,3.1949395097,3.0112941886,3.3338665727
5/19/12,1.427205431,1.4402647738,1.4140767599,3.6029100207,1.1161401999,0.8644013686,2.4289934054,2.1773407389,3.6744863483,3.139824658,1.1070001088,3.0834019312,2.6212983884,0.7218913204,1.1006850871,3.3428269002,4.43880591,2.9963612455
5/26/12,1.3482970382,1.1828266518,1.2029944141,3.7801253941,1.0377023414,0.799962104,2.1660299479,2.0444054543,3.0670985969,2.385550336,0.7353371701,2.6124044159,2.3753600377,0.7948325006,0.9801010994,2.9715316225,2.8432662254,3.0062670622
6/2/12,1.3850092441,1.302127245,1.4254866164,3.6482368657,1.1846045028,0.8482915525,2.3815138923,2.2225635834,3.0450186912,2.3346646474,0.7036098461,2.2646289636,2.2982062774,4.0084993347,1.0010906019,3.2209982306,2.9203505384,3.1378729131
6/9/12,1.2558310258,1.1388738017,1.1915845576,3.8001132737,1.1295075347,0.7838522878,2.2768154786,2.1687682766,3.2435474987,3.241065976,0.6565658829,2.2586857772,2.2509517471,1.9418325604,0.986088038,3.0389191427,2.9599486445,2.876076328
6/16/12,1.2252121321,1.2958482664,1.1302565788,3.7381036315,1.1200188048,0.6438208088,2.4874297293,2.4237058506,3.1856829182,3.8124698546,0.6610983578,2.2653223353,2.4994676176,1.2008717375,0.9517864013,2.9738553301,3.0860026152,2.8329152694
6/23/12,1.2063228643,1.1451527803,1.3227979077,3.926808101,1.2559084987,0.6376247257,1.831238509,2.11671231,2.7402779234,2.4083428841,0.7529981929,1.9988694823,2.3681859408,0.8209697569,0.907060448,2.5768332898,2.4574486793,2.5590901926
6/30/12,1.083009459,1.0698050373,1.2543387685,3.3340966478,1.0622899262,0.6004482268,1.6790605822,2.1900130745,2.7330448509,2.4989830169,0.6961078188,2.2241162435,2.1340182641,0.7480285766,0.8275398159,2.3522635488,2.2378111846,2.1508290315
7/7/12,1.1450089105,1.2079425662,1.3655848696,3.3764331802,1.0876740102,0.6215149095,1.966372508,2.1510021592,3.1080225601,2.1915486482,0.7043913073,2.1415059538,2.4248054598,0.6914991619,0.8647997046,2.5389900519,2.5083982423,2.3142750076
