"date","Lyme_disease","Borrelia","Erythema_chronicum_migrans","Fever","Ixodes","Lyme_disease_controversy","Headache","Delayed_onset_muscle_soreness","Ixodes_ricinus","Vaccine"
"2015-01-22","5280.0","227.0","189.0","1835.0","38.0","249.0","926.0","1203.0","55.0","1348.0"
"2015-01-23","3830.0","196.0","152.0","1675.0","27.0","135.0","1055.0","924.0","67.0","1169.0"
"2015-01-24","3464.0","149.0","113.0","1279.0","29.0","125.0","816.0","535.0","41.0","918.0"
"2015-01-25","2998.0","126.0","136.0","1495.0","46.0","96.0","823.0","616.0","43.0","1094.0"
"2015-01-26","3481.0","206.0","161.0","1956.0","49.0","112.0","1162.0","947.0","38.0","1303.0"
"2015-01-27","3613.0","190.0","141.0","1931.0","57.0","105.0","1105.0","958.0","79.0","1418.0"
"2015-01-28","3602.0","209.0","277.0","1929.0","49.0","109.0","1054.0","1014.0","53.0","1511.0"
"2015-01-29","3329.0","199.0","177.0","1917.0","37.0","110.0","1156.0","946.0","70.0","1467.0"
"2015-01-30","3428.0","183.0","144.0","1496.0","47.0","97.0","981.0","779.0","55.0","1471.0"
"2015-01-31","2165.0","104.0","83.0","982.0","23.0","63.0","453.0","389.0","17.0","818.0"
"2015-02-01","3249.0","135.0","119.0","1342.0","34.0","107.0","671.0","902.0","43.0","1019.0"
"2015-02-02","3892.0","205.0","142.0","1868.0","30.0","125.0","2768.0","1151.0","81.0","1660.0"
"2015-02-03","3975.0","203.0","128.0","2032.0","70.0","97.0","1015.0","858.0","62.0","2842.0"
"2015-02-04","3525.0","182.0","157.0","2003.0","69.0","113.0","965.0","1029.0","75.0","2853.0"
"2015-02-05","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-02-06","3355.0","163.0","145.0","1829.0","52.0","168.0","822.0","841.0","45.0","2274.0"
"2015-02-07","2970.0","102.0","127.0","1467.0","32.0","73.0","615.0","507.0","39.0","1587.0"
"2015-02-08","3201.0","136.0","121.0","1596.0","36.0","96.0","642.0","1231.0","30.0","1596.0"
